Rótulos de Linha	Qtde	%		Rótulos de Linha	Qtde
Office 365 Business Premium	43	58,11%		ANALISTA ADM DE PESSOAL	2
Microsoft Flow Free	10	13,51%		Office 365 Business Premium	1
Office 365 F1	9	12,16%		Office 365 F1	1
Power-BI Standard	6	8,11%		ANALISTA CONT. INTERNOS - CSI	2
Microsoft 365 F1	3	4,05%		Microsoft Flow Free	1
Power BI Pro	3	4,05%		Office 365 Business Premium	1
Total Geral	74	100,00%		ANALISTA CONTAS RECEBER E FAT	1
				Office 365 Business Premium	1
				ANALISTA DE CADASTRO	4
				Microsoft Flow Free	1
				Office 365 Business Premium	3
				ANALISTA DE COMPRAS	4
				Microsoft Flow Free	1
				Office 365 Business Premium	2
				Office 365 F1	1
				ANALISTA DE CONTABILIDADE	3
				Office 365 Business Premium	3
				ANALISTA DE CONTAS A PAGAR	2
				Office 365 Business Premium	2
				ANALISTA DE GESTÃO DE SERVIÇOS	1
				Office 365 Business Premium	1
				ANALISTA DE TESOURARIA	1
				Office 365 Business Premium	1
				Analista Financeiro SR	2
				Office 365 Business Premium	1
				Power BI Pro	1
				ANALISTA FISCAL	1
				Office 365 Business Premium	1
				ANALISTA FISCAL SÊNIOR	1
				Office 365 Business Premium	1
				ASSIST CONTAS A RECEBER E FATU	1
				Office 365 Business Premium	1
				ASSIST. CONTAS RECEBER E FATUR	5
				Microsoft Flow Free	1
				Office 365 Business Premium	3
				Office 365 F1	1
				ASSISTENTE CONTÁBIL - CSI	1
				Office 365 Business Premium	1
				ASSISTENTE DE ATENDIMENTO	4
				Microsoft 365 F1	1
				Microsoft Flow Free	1
				Office 365 Business Premium	2
				ASSISTENTE DE CADASTRO	1
				Microsoft 365 F1	1
				ASSISTENTE DE COMPRAS	2
				Office 365 Business Premium	1
				Office 365 F1	1
				ASSISTENTE DE CONTAS A PAGAR	2
				Office 365 Business Premium	1
				Office 365 F1	1
				ASSISTENTE DE DP	3
				Microsoft Flow Free	1
				Office 365 F1	2
				ASSISTENTE DE NOTAS FISCAIS	3
				Microsoft 365 F1	1
				Office 365 F1	2
				ASSISTENTE FINANCEIRO(A)	1
				Office 365 Business Premium	1
				ASSISTENTE FISCAL	1
				Office 365 Business Premium	1
				ASSISTENTE GESTÃO DE SERVIÇOS	1
				Office 365 Business Premium	1
				COORD. CONTAS RECEBER E COBRAN	2
				Office 365 Business Premium	1
				Power-BI Standard	1
				COORD. DE CONTROLES INTERNOS	2
				Microsoft Flow Free	1
				Office 365 Business Premium	1
				Coordenador contábil	2
				Office 365 Business Premium	1
				Power-BI Standard	1
				COORDENADOR DE TI	4
				Microsoft Flow Free	1
				Office 365 Business Premium	1
				Power BI Pro	1
				Power-BI Standard	1
				COORDENADOR(A) DE CADASTRO	1
				Office 365 Business Premium	1
				COORDENADOR(A) DE RH	1
				Office 365 Business Premium	1
				COORDENADOR(A) FINANCEIRO	1
				Office 365 Business Premium	1
				SUPERVISOR(A) DE COMPRAS	1
				Office 365 Business Premium	1
				SUPERVISOR(A) T.I.	1
				Office 365 Business Premium	1
				SUPORTE INFRAESTRUTURA	3
				Microsoft Flow Free	1
				Office 365 Business Premium	1
				Power-BI Standard	1
				(vazio)	7
				Microsoft Flow Free	1
				Office 365 Business Premium	3
				Power BI Pro	1
				Power-BI Standard	2
				Total Geral	74
